Nome	Qtd.
ABRAÇADEIRA - Material aço carbono, tipo "U", diâmetro amarração 1/2 polegada. MARCA: Perfilaço. CATMAT: 000382998.	40
ABRAÇADEIRA 4"	40
ABSORVENTE HIGIÊNICO, NOME ABSORVENTE HIGIENICO	0
Acionador mecânico para torneira, tipo pedal, em aço inoxidável.	1
AÇÚCAR, TIPO CRISTAL 2 KG , COMPOSIçãO ORIGEM VEGETAL, SACAROSI DE CANA DE AÇUCAR, APLICAÇÃO RESTAURANTE ESCOLAR, PCT 2KG 241311	0
AÇUCAREIRO, MATERIAL AçO INOXIDáVEL, CAPACIDADE 330, CARACTERíSTICAS ADICIONAIS COM COLHER 218748	10
ADAPTADOR - Conexão dupla para santeno para irrigação. Marca: Implebras. CATMAT: 000150870.	6
ADAPTADOR - Tê com rosca para santeno. Marca: Implebras.	6
ADAPTADOR ELÉTRICO PADRÃO NOVO 2P + T 20A 220V	5
ADAPTADOR FÊMEA-FÊMEA, CONEXÃO VGA- DB 15, USO EM VÍDEO.	10
ADAPTADOR MANGUEIRA, MATERIAL LATÃO, BITOLA 3/4 x 1/2", APLICAÇÃO JARDIM. CATMAT: 000324333.	0
ADAPTADOR PADRÃO NOVO 2P + T 10A 220V	5
Adaptador soldável curto, com bolsa e rosca para registro 32 mm x 1, em pvc. Similar ou superior às marcas Amanco ou Tigre. Marca: Plastubos. CATMAT: 000150870.	0
ADAPTADOR, EM MATERIAL POLIETILENO PARA MICRO TUBO DE 4mm.	0
Adesivo conexão hidráulica, aplicação tubos e conexões de PVC, apresentação Frasco.	0
ADESIVO SILICONE 280G. *	10
ADOÇANTE, ASPECTO FÍSICO LIQUIDO LÍMPIDO TRANSPARENTE, INGREDIENTES SACARINA SÓDICA,CICLAMATO DE SÓDIO E EDULCORANTES, TIPO DIETÉTICO, CARACTERíSTICAS ADICIONAIS BICO DOSADOR, FRASCO COM 100ML 243962	5
AGENDA, TIPO TELEFÔNICA, REVESTIMENTO CAPA COURO SINTÉTICO, QUANTIDADE FOLHAS 100, GRAMATURA 75, COMPRIMENTO 210, TIPO ENCADERNAÇÃO COSTURADA E COLADA, LARGURA 150, TIPO PAPEL MIOLO OFSETE, CARACTERÍSTICAS ADICIONAIS ÍNDICE ALFABÉTICO DE A/Z, COR CAPA 364331	7
ÁGUA MINERAL EM GALÃO DE 20 LITROS	0
AGULHA HIPODERMICA 13X4,5, INOX DESCARTAVEL, CAIXA COM 100 UNIDADES.	1
AGULHA HIPODERMICA 25X7,INOX DESCARTAVEL 279630	1
AGULHA HIPODERMICA 25X8,INOX DESCARTAVEL, CAIXA COM 100 UNIDADES.	1
AGULHA HIPODÉRMICA 40X12, CAIXA COM 100 UND.	1
ALCOOL EM GEL, 70%, FRASCO COM 500 269943	24
ÁLCOOL ETÍLICO 70 LÍQUIDO INFLAMÁVEL 70 GL, FRASCO DE 1 LITRO.	10
ALCOOL LIQUIDO 70%, FR 1000ML 269941	19
ALFINETE MAPA, MATERIAL AÇO, MATERIAL CABEÇA PLÁSTICO, FORMATO CABEÇA REDONDO, COR VARIADA - EMBALAGEM C/ 50 UN 316632	34
ALGODÃO, TIPO HIDRÓFILO, APRESENTAÇÃO EM MANTAS, MATERIAL ALVEJADO, PURIFICADO, ISENTO DE IMPUREZAS, CARACTERÍSTICAS ADICIONAIS ENROLADO EM PAPEL APROPRIADO, ESTERILIDADE NÃO ESTÉRIL, TIPO EMBALAGEM EMBALAGEM INDIVIDUAL.	0
Alicate aplicador de brincos para ovinos e caprinos, fabricada em alumínio, com agulha de aço resistente para aplicação de brincos pequenos e médios, com cabos revestidos em borracha, tamanho 25 cm de comprimento.	0
ALICATE PARA CLIMPAR - Alicate de crimpagem para conectores RJ45 e RJ11, com cortador e decapador de cabo, fabricado em material resistente com lâminas precisas, com mola de abertura permanente, catraca para conectores RJ45 de 8 pinos e RJ11 de 6 pinos. MARCA: TDA.	2
ALICATE PARA CLIMPAR - Alicate de crimpagem para conectores RJ45 e RJ11, com cortador e decapador de cabo, fabricado em material resistente com lâminas precisas, com mola de abertura permanente, catraca para conectores RJ45 de 8 pinos e RJ11 de 6 pinos. MARCA: TDA. CATMAT: 000136760.	0
ALICATE PARA CLIMPAR - Alicate de inserção para conectores RJ4 fêmea, com mola de regulagem de pressão, utilizado em cabeamento estruturado com uso de patch panel ou keystone RJ45, fabricado em material resistente. MARCA: TDA. CATMAT: 000136760.	0
ALICATE PARA CLIMPAR - Alicate de inserção para conectores RJ45 fêmea, com mola de regulagem de pressão, utilizado em cabeamento estruturado com uso de patch panel ou keystone RJ45, fabricado em material resistente. MARCA: TDA.	6
ALICATE PARA CLIMPAR - Alicate decapador descascador para cabos de rede CAT5 e CAT6. Corpo injetado em ABS, com molas e ajustes, com lâminas em aço inoxidável compatível com cabos coaxiais (BNC), STP e UTP. MARCA: TDA.	5
ALICATE PARA CLIMPAR - Alicate decapador descascador para cabos de rede CAT5 e CAT6. Corpo injetado em ABS, com molas e ajustes, com lâminas em aço inoxidável compatível com cabos coaxiais (BNC), STP e UTP. MARCA: TDA. CATMAT: 000136760.	0
ALICATE, PADRAO UNIVERSAL EMBORRACHADO - 138762	0
Alimentação, Nome Chá para alimentação. Marca: Real. CATMAT: 000009750	47
ALMOFADA CARIMBO, MATERIAL CAIXA PLÁSTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO, TAMANHO MÉDIO, COR PRETA, TIPO NÃO ENTINTADA 203286	15
ANEL VEDAÇÃO 3/4mm, (CHULA), PARA MANGUEIRA TIPO SANTENO.	50
APAGADOR QUADRO BRANCO ,MATERIAL BASE FELTRO ,MATERIAL CORPO ACRILICO , COMPRIMENTO 17CM , LARGURA 5CM , ALTURA 10 CM , ESTOJO COM COMPARTIMENTO PARA 2 PINCEIS. 427366	45
APAGADOR QUADRO BRANCO, FELTRO, CORPO DE PLASTICO, 15CM X 4,50CM X 25CM (COMP.XLARGURAXALTURA). 204691	104
APONTADOR LÁPIS, MATERIAL METAL E PLÁSTICO, TIPO ESCOLAR, CARACTERÍSTICAS ADICIONAIS COM DEPÓSITO, CORES VARIADAS 230828	8
Arame galvanizado, tipo n.º:12	4
ARAME LISO Z-700. *	19
ARAME PARA CERCA ELÉTRICA Nº 14.	5
ARGAMASSA Argamassa Colante Tipo Ac-1, para assentar revestimento cerâmico, pacotes de 20Kg, marca: davinopolis	10
ASPERSOR - Aspersor de impacto, com vazão 607/1/h, atura do jato 2,5. Similar ou superior às marcas agropolo ou rains Bird. Marca: Fabrimar; CATMAT: 000151016.	6
'ASPERSOR - Pressão 25 metros de coluna d''água, raio de 12 metros, vazão 7501/h, altura do jato 2,5. Similar ou superior as marcas agropolo ou rain Bird. Marca: Fabrimar. CATMAT: 000151016.'	6
ASPERSOR Aspersor, verde (duas peças) rosca macho de 1/2 polegada, pressão de trabalho 2, 5 a 4,00 bares (não compensante), vazões de 360 a 700 1/h, diâmetro de 16 a 20 m, ângulo do jato alto ou baixo. Similar ou superior as marcas naandan ou rain BIRD. Marca: Fabrimar	6
ATADURA LARGURA 15 CM, COMPRIMENTO 180 CM	0
BANDEIRA EM TECIDO,INSTITUCIONAL 16128	3
